order_id,customer_id,order_date,order_status,payment_method,sales_channel,gross_amount,discount_amount,shipping_fee,final_amount,delivered_date
O00063,C0125,10-02-2024,Delivered,COD,Marketplace,319.2,79.8,49,368.2,15-02-2024
O00064,C0250,14-02-2024,Delivered,UPI,Website,224.1,24.9,59,283.1,16-02-2024
O00065,C0397,06-08-2024,Delivered,UPI,Website,598.2,49.8,49,647.2,12-08-2024
O00066,C0286,13-03-2024,Delivered,UPI,Website,853.2,94.8,0,853.2,19-03-2024
O00067,C0359,15-03-2024,Delivered,UPI,Mobile App,1043.15,104.85,0,1043.15,18-03-2024
O00068,C0408,12-07-2025,Delivered,UPI,Mobile App,2747.75,97.25,0,2747.75,18-07-2025
O00069,C0109,26-02-2025,Cancelled,UPI,Website,1133.25,164.75,0,0,
O00070,C0282,17-04-2025,Delivered,Debit Card,Website,948.1,49.9,0,948.1,22-04-2025
O00071,C0163,12-05-2025,Delivered,UPI,Mobile App,1108.05,39.95,0,1108.05,18-05-2025
O00072,C0450,06-05-2025,Delivered,UPI,Mobile App,798.4,199.6,0,798.4,09-05-2025
O00073,C0135,10-08-2024,Cancelled,Debit Card,Mobile App,1637.25,159.75,0,0,
O00074,C0335,01-06-2024,Delivered,Debit Card,Mobile App,331.55,17.45,59,390.55,03-06-2024
O00075,C0229,20-08-2025,Cancelled,UPI,Mobile App,1973.75,122.25,0,0,
O00076,C0470,10-04-2025,Delivered,Debit Card,Website,2037.9,207.1,0,2037.9,13-04-2025
O00077,C0455,29-10-2024,Delivered,UPI,Mobile App,551.65,97.35,40,591.65,03-11-2024
O00078,C0346,05-05-2025,Delivered,Debit Card,Website,699,0,0,699,10-05-2025
O00079,C0076,30-10-2024,In Transit,Credit Card,Mobile App,284.05,14.95,40,324.05,
O00080,C0111,04-04-2025,Delivered,Credit Card,Website,551.65,97.35,59,610.65,09-04-2025
O00081,C0303,11-03-2024,Delivered,UPI,Website,1971.3,174.7,0,1971.3,14-03-2024
O00082,C0067,09-09-2025,Delivered,COD,Mobile App,678.3,119.7,49,727.3,12-09-2025
O00083,C0405,25-01-2025,Delivered,COD,Mobile App,858.3,139.7,0,858.3,30-01-2025
O00084,C0296,16-08-2024,Delivered,Debit Card,Website,616.55,32.45,59,675.55,20-08-2024
O00085,C0387,27-07-2024,Delivered,Credit Card,Website,569.05,29.95,59,628.05,31-07-2024
O00086,C0401,17-12-2025,Delivered,Credit Card,Mobile App,680.7,67.3,40,720.7,21-12-2025
O00087,C0046,06-03-2024,Delivered,Credit Card,Mobile App,2195,0,0,2195,13-03-2024
O00088,C0266,19-10-2024,Delivered,Credit Card,Mobile App,555.8,92.2,49,604.8,23-10-2024
O00089,C0471,02-04-2024,Delivered,Credit Card,Mobile App,299.25,99.75,49,348.25,10-04-2024
O00090,C0134,28-06-2024,Delivered,UPI,Website,1696.6,299.4,0,1696.6,04-07-2024
O00091,C0235,28-11-2025,Delivered,UPI,Website,1144.95,202.05,0,1144.95,01-12-2025
O00092,C0359,26-09-2024,Delivered,Debit Card,Mobile App,426.55,22.45,59,485.55,29-09-2024
O00093,C0350,13-07-2024,Delivered,Debit Card,Mobile App,629.1,69.9,40,669.1,19-07-2024
O00094,C0253,10-08-2025,Cancelled,UPI,Website,1752.2,144.8,0,0,
O00095,C0270,09-03-2025,Delivered,Credit Card,Website,833.1,64.9,0,833.1,12-03-2025
O00096,C0167,05-01-2025,Delivered,Credit Card,Website,404.1,44.9,40,444.1,09-01-2025
O00097,C0187,14-02-2025,Delivered,UPI,Mobile App,664.05,34.95,49,713.05,21-02-2025
O00098,C0091,07-03-2025,In Transit,Net Banking,Website,908.25,139.75,0,908.25,
O00099,C0031,08-08-2024,Delivered,Credit Card,Website,279.2,69.8,49,328.2,12-08-2024
O00100,C0102,13-08-2025,Delivered,UPI,Mobile App,254.15,44.85,40,294.15,17-08-2025
O00101,C0414,11-12-2024,Delivered,UPI,Marketplace,719.1,79.9,0,719.1,17-12-2024
O00102,C0203,04-10-2024,Delivered,COD,Mobile App,279.2,69.8,40,319.2,10-10-2024
O00103,C0482,18-12-2025,Delivered,UPI,Website,1120.05,226.95,0,1120.05,22-12-2025
O00104,C0065,14-05-2024,Delivered,UPI,Website,1896.5,249.5,0,1896.5,18-05-2024
O00105,C0450,31-07-2025,Delivered,Credit Card,Marketplace,569.05,29.95,49,618.05,03-08-2025
O00106,C0177,20-10-2024,Delivered,COD,Marketplace,521.55,27.45,40,561.55,26-10-2024
O00107,C0097,25-02-2025,Delivered,UPI,Mobile App,1043.25,154.75,0,1043.25,02-03-2025
O00108,C0140,18-10-2024,Delivered,UPI,Website,629.1,69.9,49,678.1,21-10-2024
O00109,C0097,18-08-2024,Delivered,COD,Website,399,0,40,439,22-08-2024
O00110,C0191,19-04-2025,Delivered,UPI,Mobile App,539.1,59.9,40,579.1,22-04-2025
O00111,C0419,25-01-2025,Delivered,Debit Card,Website,673.2,74.8,40,713.2,29-01-2025
O00112,C0160,15-10-2025,Delivered,Credit Card,Website,699,0,0,699,20-10-2025
O00113,C0121,10-10-2025,Delivered,Net Banking,Mobile App,1617.3,179.7,0,1617.3,15-10-2025
O00114,C0080,15-01-2025,Delivered,Credit Card,Mobile App,399,0,49,448,20-01-2025
O00115,C0406,27-10-2024,In Transit,Debit Card,Mobile App,938.25,159.75,0,938.25,
O00116,C0249,24-12-2025,Delivered,Debit Card,Website,759.05,39.95,0,759.05,31-12-2025
O00117,C0284,29-10-2024,Delivered,UPI,Website,449,0,40,489,03-11-2024
O00118,C0338,05-07-2025,Delivered,Debit Card,Mobile App,664.05,34.95,40,704.05,10-07-2025
O00119,C0104,19-04-2024,Delivered,Credit Card,Mobile App,725.55,22.45,0,725.55,27-04-2024
O00120,C0240,16-08-2025,Cancelled,Net Banking,Website,1212.1,34.9,0,0,
O00121,C0052,24-08-2024,Delivered,Credit Card,Website,980.55,17.45,0,980.55,28-08-2024
O00122,C0453,30-10-2024,Delivered,UPI,Website,1666.25,129.75,0,1666.25,05-11-2024
O00123,C0131,03-01-2025,Delivered,UPI,Mobile App,2424.45,169.55,0,2424.45,08-01-2025
O00124,C0080,07-11-2024,Delivered,UPI,Mobile App,379.05,19.95,40,419.05,13-11-2024
O00125,C0406,24-10-2025,Delivered,UPI,Mobile App,339.15,59.85,49,388.15,28-10-2025
O00126,C0214,03-05-2024,Delivered,Debit Card,Mobile App,379.05,19.95,40,419.05,07-05-2024
O00127,C0168,29-05-2025,Delivered,Debit Card,Marketplace,2065.25,129.75,0,2065.25,02-06-2025
O00128,C0391,18-05-2024,Delivered,UPI,Mobile App,618.2,79.8,59,677.2,20-05-2024
O00129,C0217,09-01-2025,Delivered,Credit Card,Website,186.75,62.25,49,235.75,14-01-2025
O00130,C0080,13-08-2024,Returned,COD,Mobile App,778.15,69.85,0,778.15,18-08-2024
O00131,C0073,12-12-2025,Delivered,Credit Card,Mobile App,551.65,97.35,59,610.65,15-12-2025
O00132,C0484,19-10-2025,Delivered,COD,Website,1328.1,69.9,0,1328.1,28-10-2025
O00133,C0364,11-04-2024,Delivered,Credit Card,Website,339.15,59.85,40,379.15,14-04-2024
O00134,C0171,16-05-2025,Delivered,UPI,Website,708.35,139.65,0,708.35,23-05-2025
O00135,C0016,22-07-2025,Delivered,UPI,Website,296.65,52.35,59,355.65,27-07-2025
O00136,C0466,11-09-2025,Delivered,UPI,Website,758.1,39.9,0,758.1,17-09-2025
O00137,C0070,16-03-2025,In Transit,UPI,Marketplace,1756.55,239.45,0,1756.55,
O00138,C0212,25-02-2025,Delivered,Net Banking,Mobile App,2401.3,194.7,0,2401.3,02-03-2025
O00139,C0306,25-08-2024,Delivered,UPI,Mobile App,449.1,49.9,40,489.1,01-09-2024
O00140,C0071,16-06-2024,Delivered,Debit Card,Website,299.25,99.75,40,339.25,18-06-2024
O00141,C0225,23-09-2025,Delivered,Credit Card,Website,521.55,27.45,49,570.55,27-09-2025
O00142,C0293,31-08-2025,Delivered,Debit Card,Website,558.4,139.6,40,598.4,05-09-2025
O00143,C0392,07-10-2025,Delivered,Credit Card,Mobile App,1078.4,269.6,0,1078.4,11-10-2025
O00144,C0047,18-08-2025,Delivered,UPI,Website,474.05,24.95,49,523.05,20-08-2025
O00145,C0047,26-04-2024,Delivered,UPI,Mobile App,673.1,24.9,49,722.1,01-05-2024
O00146,C0077,15-06-2024,Delivered,Debit Card,Website,359.1,39.9,40,399.1,22-06-2024
O00147,C0002,29-09-2025,Delivered,Credit Card,Website,853.2,94.8,0,853.2,04-10-2025
O00148,C0420,22-10-2024,Delivered,UPI,Mobile App,1697,0,0,1697,27-10-2024
O00149,C0355,17-12-2025,Delivered,UPI,Website,1025.55,22.45,0,1025.55,21-12-2025
O00150,C0150,19-10-2025,Delivered,UPI,Website,449.25,149.75,59,508.25,28-10-2025
O00151,C0353,11-09-2025,In Transit,UPI,Mobile App,1279.65,67.35,0,1279.65,
O00152,C0067,21-09-2025,Delivered,Debit Card,Website,374.25,124.75,40,414.25,24-09-2025
O00153,C0408,30-04-2024,Delivered,Credit Card,Website,1518.1,79.9,0,1518.1,05-05-2024
O00154,C0131,10-03-2024,Delivered,UPI,Website,1130.55,17.45,0,1130.55,14-03-2024
O00155,C0470,30-04-2025,Delivered,Credit Card,Mobile App,2188.8,157.2,0,2188.8,05-05-2025
O00156,C0034,01-06-2024,Delivered,COD,Mobile App,695.85,152.15,49,744.85,07-06-2024
O00157,C0191,07-04-2025,Delivered,Credit Card,Website,549,0,59,608,09-04-2025
O00158,C0257,06-06-2024,Returned,Debit Card,Website,1837.4,259.6,0,1837.4,12-06-2024
O00159,C0352,31-08-2025,Delivered,Net Banking,Website,835.65,62.35,0,835.65,04-09-2025
O00160,C0396,27-03-2025,Delivered,UPI,Website,1966.35,229.65,0,1966.35,31-03-2025
O00161,C0277,17-08-2024,Returned,UPI,Website,279.2,69.8,59,338.2,24-08-2024
O00162,C0366,17-11-2025,Delivered,COD,Mobile App,958.1,39.9,0,958.1,23-11-2025
O00163,C0486,14-08-2025,Returned,UPI,Mobile App,1108.05,39.95,0,1108.05,18-08-2025
O00164,C0167,23-07-2025,Delivered,Credit Card,Website,336.75,112.25,49,385.75,25-07-2025
O00165,C0291,16-12-2024,Delivered,Debit Card,Website,2345.1,49.9,0,2345.1,19-12-2024
O00166,C0395,23-01-2025,Delivered,UPI,Website,424.15,74.85,40,464.15,28-01-2025
O00167,C0229,19-07-2024,Cancelled,UPI,Mobile App,1691.5,254.5,0,0,
O00168,C0314,06-06-2025,Delivered,UPI,Website,509.15,89.85,49,558.15,09-06-2025
O00169,C0202,02-10-2025,Delivered,UPI,Website,1577.2,69.8,0,1577.2,11-10-2025
O00170,C0069,12-08-2024,Delivered,Credit Card,Website,2217.85,177.15,0,2217.85,15-08-2024
O00171,C0296,25-05-2025,Delivered,Credit Card,Website,942.3,104.7,0,942.3,31-05-2025
O00172,C0073,23-06-2025,In Transit,Debit Card,Website,719.1,79.9,0,719.1,
O00173,C0380,10-11-2025,Delivered,Debit Card,Mobile App,509.15,89.85,49,558.15,14-11-2025
O00174,C0294,05-12-2024,In Transit,Net Banking,Website,381.65,67.35,59,440.65,
O00175,C0134,03-03-2024,Delivered,Credit Card,Mobile App,314.1,34.9,40,354.1,08-03-2024
O00176,C0143,09-11-2024,Cancelled,UPI,Website,449.1,49.9,0,0,
O00177,C0414,28-06-2024,Delivered,Credit Card,Mobile App,2663.8,182.2,0,2663.8,02-07-2024
O00178,C0108,14-08-2025,Delivered,Debit Card,Mobile App,616.55,32.45,59,675.55,22-08-2025
O00179,C0120,23-01-2025,Delivered,UPI,Website,1328.1,69.9,0,1328.1,27-01-2025
O00180,C0490,20-08-2025,Delivered,Net Banking,Mobile App,1677.2,119.8,0,1677.2,25-08-2025
O00181,C0354,03-07-2024,Delivered,UPI,Website,426.55,22.45,59,485.55,07-07-2024
O00182,C0481,31-08-2025,Cancelled,COD,Mobile App,1527.3,169.7,0,0,
O00183,C0496,08-07-2024,Delivered,UPI,Website,1627.25,119.75,0,1627.25,14-07-2024
O00184,C0490,17-08-2024,In Transit,UPI,Website,988.2,109.8,0,988.2,
O00185,C0133,19-08-2024,Delivered,Debit Card,Website,299,0,49,348,22-08-2024
O00186,C0464,04-02-2025,Delivered,COD,Website,848.3,149.7,0,848.3,09-02-2025
O00187,C0479,02-01-2025,Delivered,UPI,Marketplace,770.7,77.3,0,770.7,05-01-2025
O00188,C0496,28-01-2025,Delivered,UPI,Website,1248,0,0,1248,06-02-2025
O00189,C0330,11-11-2024,In Transit,Net Banking,Marketplace,679.15,119.85,49,728.15,
O00190,C0061,04-08-2024,Delivered,Credit Card,Mobile App,1996.1,49.9,0,1996.1,10-08-2024
O00191,C0421,09-04-2024,Delivered,Credit Card,Mobile App,853.1,44.9,0,853.1,15-04-2024
O00192,C0295,22-10-2024,Delivered,UPI,Website,359.1,39.9,49,408.1,25-10-2024
O00193,C0069,12-04-2024,Delivered,UPI,Website,1813.95,232.05,0,1813.95,15-04-2024
O00194,C0123,27-06-2024,Delivered,UPI,Website,1499.7,97.3,0,1499.7,03-07-2024
O00195,C0113,20-04-2025,Delivered,UPI,Website,698,0,59,757,24-04-2025
O00196,C0023,16-04-2024,Returned,UPI,Mobile App,1188.3,209.7,0,1188.3,21-04-2024
O00197,C0118,22-04-2024,Delivered,Debit Card,Mobile App,629.1,69.9,49,678.1,25-04-2024
O00198,C0233,01-07-2024,Delivered,Debit Card,Mobile App,2006.55,289.45,0,2006.55,06-07-2024
O00199,C0088,14-08-2025,Cancelled,UPI,Mobile App,211.65,37.35,0,0,
O00200,C0143,15-01-2024,Delivered,UPI,Website,913.35,184.65,0,913.35,17-01-2024
O00201,C0394,16-08-2025,Delivered,Net Banking,Mobile App,599,0,59,658,20-08-2025
O00202,C0047,17-01-2024,Delivered,Debit Card,Mobile App,735.85,162.15,0,735.85,21-01-2024
O00203,C0325,02-01-2024,Delivered,Net Banking,Website,319.2,79.8,59,378.2,07-01-2024
O00204,C0377,26-02-2024,Returned,UPI,Website,331.55,17.45,59,390.55,02-03-2024
O00205,C0447,20-12-2025,Delivered,UPI,Website,299,0,49,348,24-12-2025
O00206,C0425,05-05-2024,Delivered,Net Banking,Mobile App,296.65,52.35,40,336.65,08-05-2024
O00207,C0045,23-03-2024,Delivered,COD,Website,699,0,0,699,26-03-2024
O00208,C0012,27-10-2024,Delivered,COD,Website,349,0,40,389,03-11-2024
O00209,C0336,23-10-2025,Delivered,Debit Card,Website,279.2,69.8,49,328.2,26-10-2025
O00210,C0395,12-11-2024,In Transit,Credit Card,Website,551.65,97.35,59,610.65,
O00211,C0407,10-08-2024,In Transit,Credit Card,Website,629.1,69.9,49,678.1,
O00212,C0076,16-01-2025,In Transit,Credit Card,Website,359.2,89.8,49,408.2,
O00213,C0080,05-01-2024,Delivered,Credit Card,Mobile App,1527.45,269.55,0,1527.45,14-01-2024
O00214,C0410,01-08-2025,Returned,UPI,Website,549,0,40,589,05-08-2025
O00215,C0101,31-01-2025,Delivered,UPI,Website,639.2,159.8,59,698.2,04-02-2025
O00216,C0007,18-10-2024,Delivered,Credit Card,Mobile App,759.05,39.95,0,759.05,22-10-2024
O00217,C0072,24-08-2025,Delivered,UPI,Marketplace,1438.2,159.8,0,1438.2,28-08-2025
O00218,C0237,28-12-2025,Returned,UPI,Mobile App,853.1,44.9,0,853.1,02-01-2026
O00219,C0079,25-09-2024,Delivered,Debit Card,Website,1809.85,237.15,0,1809.85,29-09-2024
O00220,C0307,05-01-2025,Delivered,Net Banking,Mobile App,269.1,29.9,59,328.1,07-01-2025
O00221,C0450,22-10-2024,Delivered,UPI,Marketplace,559.2,139.8,59,618.2,25-10-2024
O00222,C0392,06-04-2024,Delivered,UPI,Website,948.1,49.9,0,948.1,09-04-2024
O00223,C0211,14-12-2024,Delivered,UPI,Website,940.05,206.95,0,940.05,20-12-2024
O00224,C0214,16-04-2025,Delivered,UPI,Website,269.1,29.9,59,328.1,21-04-2025
O00225,C0089,27-12-2025,Delivered,UPI,Website,818.4,179.6,0,818.4,30-12-2025
O00226,C0101,23-10-2025,Delivered,Credit Card,Marketplace,699,0,0,699,26-10-2025
O00227,C0301,23-07-2024,Delivered,UPI,Mobile App,1642.35,204.65,0,1642.35,25-07-2024
O00228,C0462,16-10-2025,Returned,COD,Mobile App,254.15,44.85,40,294.15,19-10-2025
O00229,C0209,25-04-2024,Delivered,Credit Card,Website,296.65,52.35,40,336.65,29-04-2024
O00230,C0352,30-03-2025,Delivered,COD,Website,1342.25,104.75,0,1342.25,04-04-2025
O00231,C0053,27-10-2024,Delivered,Net Banking,Website,339.15,59.85,59,398.15,01-11-2024
O00232,C0411,21-10-2025,Delivered,Debit Card,Marketplace,2720.2,74.8,0,2720.2,24-10-2025
O00233,C0168,05-06-2024,Delivered,Debit Card,Mobile App,426.55,22.45,49,475.55,09-06-2024
O00234,C0280,19-01-2024,Delivered,Credit Card,Marketplace,719.1,79.9,0,719.1,21-01-2024
O00235,C0441,06-11-2024,Delivered,Credit Card,Website,359.1,39.9,59,418.1,11-11-2024
O00236,C0244,29-07-2025,Delivered,UPI,Website,2879.2,114.8,0,2879.2,31-07-2025
O00237,C0339,07-09-2024,Delivered,Credit Card,Marketplace,699,0,0,699,11-09-2024
O00238,C0443,08-03-2025,Returned,UPI,Mobile App,922.1,24.9,0,922.1,13-03-2025
O00239,C0431,02-07-2025,Delivered,UPI,Mobile App,783.15,64.85,0,783.15,07-07-2025
O00240,C0219,02-08-2024,Delivered,Net Banking,Website,284.05,14.95,49,333.05,07-08-2024
O00241,C0361,12-06-2025,Delivered,UPI,Marketplace,740.65,57.35,0,740.65,17-06-2025
O00242,C0268,24-07-2024,Delivered,UPI,Mobile App,339.15,59.85,40,379.15,29-07-2024
O00243,C0137,20-10-2024,Delivered,Credit Card,Website,594.15,104.85,49,643.15,24-10-2024
O00244,C0217,24-10-2025,Delivered,UPI,Website,1038.15,59.85,0,1038.15,26-10-2025
O00245,C0161,08-09-2025,Delivered,COD,Mobile App,1672.4,274.6,0,1672.4,13-09-2025
O00246,C0122,10-11-2024,Cancelled,Debit Card,Mobile App,1090.6,57.4,0,0,
O00247,C0442,15-08-2025,Delivered,UPI,Website,509.15,89.85,40,549.15,19-08-2025
O00248,C0421,10-08-2025,Cancelled,Debit Card,Marketplace,1469.65,77.35,0,0,
O00249,C0416,29-10-2024,Delivered,COD,Website,2834.7,359.3,0,2834.7,05-11-2024
O00250,C0482,18-05-2025,Delivered,Net Banking,Mobile App,1072.3,124.7,0,1072.3,20-05-2025
O00251,C0406,24-01-2025,Delivered,UPI,Website,1144.95,202.05,0,1144.95,30-01-2025
O00252,C0352,24-02-2025,Delivered,Credit Card,Mobile App,508.3,89.7,40,548.3,26-02-2025
O00253,C0115,22-01-2024,Returned,Debit Card,Mobile App,1184.65,62.35,0,1184.65,30-01-2024
O00254,C0476,09-04-2025,Delivered,UPI,Website,1541.4,154.6,0,1541.4,12-04-2025
O00255,C0121,24-09-2025,Delivered,Credit Card,Mobile App,523.5,174.5,49,572.5,29-09-2025
O00256,C0363,09-03-2025,Delivered,UPI,Website,898.5,299.5,0,898.5,17-03-2025
O00257,C0307,27-12-2025,Delivered,UPI,Mobile App,261.75,87.25,59,320.75,29-12-2025
O00258,C0450,13-11-2024,Delivered,UPI,Website,2178.05,266.95,0,2178.05,19-11-2024
O00259,C0487,03-06-2024,Returned,Debit Card,Website,539.1,59.9,40,579.1,09-06-2024
O00260,C0064,07-11-2024,Cancelled,Debit Card,Mobile App,1596,0,0,0,
O00261,C0472,19-03-2024,Delivered,UPI,Website,236.55,12.45,40,276.55,26-03-2024
O00262,C0246,09-04-2025,Delivered,Debit Card,Website,359.2,89.8,59,418.2,16-04-2025
O00263,C0067,04-08-2024,Delivered,UPI,Mobile App,803.2,94.8,0,803.2,08-08-2024
O00264,C0146,24-10-2025,Delivered,UPI,Website,339.15,59.85,40,379.15,28-10-2025
O00265,C0229,01-02-2025,Delivered,Credit Card,Mobile App,808.1,39.9,0,808.1,04-02-2025
O00266,C0080,22-05-2025,Delivered,UPI,Website,299.25,99.75,59,358.25,29-05-2025
O00267,C0268,13-03-2025,Delivered,UPI,Website,359.1,39.9,59,418.1,19-03-2025
O00268,C0059,08-11-2025,Delivered,Net Banking,Website,254.15,44.85,59,313.15,12-11-2025
O00269,C0175,10-07-2024,Delivered,COD,Website,893.1,54.9,0,893.1,14-07-2024
O00270,C0382,08-09-2025,Delivered,Net Banking,Mobile App,1097,0,0,1097,14-09-2025
O00271,C0097,28-01-2024,Delivered,Debit Card,Website,963.1,34.9,0,963.1,31-01-2024
O00272,C0011,05-04-2025,Delivered,Credit Card,Mobile App,466.65,82.35,49,515.65,12-04-2025
O00273,C0306,21-07-2025,Delivered,UPI,Website,1452.1,44.9,0,1452.1,26-07-2025
O00274,C0138,25-10-2025,Delivered,Credit Card,Marketplace,284.05,14.95,40,324.05,29-10-2025
O00275,C0174,08-09-2025,Delivered,Credit Card,Mobile App,987.3,109.7,0,987.3,17-09-2025
O00276,C0342,24-10-2024,Delivered,UPI,Website,3641.8,202.2,0,3641.8,29-10-2024
O00277,C0402,29-12-2024,Delivered,Credit Card,Mobile App,1911.95,584.05,0,1911.95,04-01-2025
O00278,C0440,14-04-2024,Delivered,UPI,Mobile App,1852.15,94.85,0,1852.15,17-04-2024
O00279,C0225,01-03-2025,Delivered,Net Banking,Website,551.65,97.35,49,600.65,05-03-2025
O00280,C0078,26-06-2025,Delivered,Net Banking,Website,593.3,104.7,49,642.3,04-07-2025
